Date_to,PM10,PM2.5
2025-04-04 15:00:00,9,6
2025-04-04 16:00:00,8,5
2025-04-04 17:00:00,8,5
2025-04-04 18:00:00,10,7
2025-04-04 19:00:00,22,18
2025-04-04 20:00:00,17,13
2025-04-04 21:00:00,22,18
2025-04-04 22:00:00,28,23
2025-04-04 23:00:00,22,19
2025-04-05 00:00:00,21,18
2025-04-05 01:00:00,18,15
2025-04-05 02:00:00,14,11
2025-04-05 03:00:00,15,12
2025-04-05 04:00:00,16,13
2025-04-05 05:00:00,10,8
2025-04-05 06:00:00,12,8
2025-04-05 07:00:00,11,8
2025-04-05 08:00:00,16,11
2025-04-05 09:00:00,15,10
2025-04-05 10:00:00,13,9
2025-04-05 11:00:00,17,13
2025-04-05 12:00:00,16,12
2025-04-05 13:00:00,19,15
2025-04-05 14:00:00,16,12
2025-04-05 15:00:00,13,9
2025-04-05 16:00:00,8,5
2025-04-05 17:00:00,8,4
2025-04-05 18:00:00,8,4
2025-04-05 19:00:00,11,8
2025-04-05 20:00:00,14,8
2025-04-05 21:00:00,16,10
2025-04-05 22:00:00,19,13
2025-04-05 23:00:00,20,11
2025-04-06 00:00:00,18,9
2025-04-06 01:00:00,15,5
2025-04-06 02:00:00,10,3
2025-04-06 03:00:00,8,3
2025-04-06 04:00:00,7,3
2025-04-06 05:00:00,7,3
2025-04-06 06:00:00,7,3
2025-04-06 07:00:00,9,3
2025-04-06 08:00:00,12,4
2025-04-06 09:00:00,16,6
2025-04-06 10:00:00,19,7
2025-04-06 11:00:00,20,6
2025-04-06 12:00:00,20,5
2025-04-06 13:00:00,18,6
2025-04-06 14:00:00,16,5
2025-04-06 15:00:00,11,3
2025-04-06 16:00:00,7,3
2025-04-06 17:00:00,8,3
2025-04-06 18:00:00,7,3
2025-04-06 19:00:00,9,3
2025-04-06 20:00:00,9,5
2025-04-06 21:00:00,10,6
2025-04-06 22:00:00,9,6
2025-04-06 23:00:00,7,4
2025-04-07 00:00:00,5,3
2025-04-07 01:00:00,5,4
2025-04-07 02:00:00,8,5
2025-04-07 03:00:00,7,5
2025-04-07 04:00:00,10,8
2025-04-07 05:00:00,10,7
2025-04-07 06:00:00,16,12
2025-04-07 07:00:00,22,16
2025-04-07 08:00:00,15,10
2025-04-07 09:00:00,16,9
2025-04-07 10:00:00,9,6
2025-04-07 11:00:00,6,4
2025-04-07 12:00:00,8,5
2025-04-07 13:00:00,8,5
2025-04-07 14:00:00,8,5
2025-04-07 15:00:00,7,5
2025-04-07 16:00:00,7,4
2025-04-07 17:00:00,8,4
2025-04-07 18:00:00,9,5
2025-04-07 19:00:00,7,5
2025-04-07 20:00:00,10,7
2025-04-07 21:00:00,13,11
2025-04-07 22:00:00,23,19
2025-04-07 23:00:00,22,17
2025-04-08 00:00:00,22,19
2025-04-08 01:00:00,14,11
2025-04-08 02:00:00,11,9
2025-04-08 03:00:00,9,7
2025-04-08 04:00:00,7,5
2025-04-08 05:00:00,7,5
2025-04-08 06:00:00,11,7
2025-04-08 07:00:00,8,5
2025-04-08 08:00:00,12,7
2025-04-08 09:00:00,11,7
2025-04-08 10:00:00,12,7
2025-04-08 11:00:00,12,7
2025-04-08 12:00:00,9,5
2025-04-08 13:00:00,5,3
2025-04-08 14:00:00,5,3
2025-04-08 15:00:00,10,8
