Date_to,PM10,PM2.5
2025-04-08 16:00:00,5,3
2025-04-08 17:00:00,6,3
2025-04-08 18:00:00,6,3
2025-04-08 19:00:00,7,3
2025-04-08 20:00:00,8,5
2025-04-08 21:00:00,18,13
2025-04-08 22:00:00,21,16
2025-04-08 23:00:00,28,23
2025-04-09 00:00:00,32,28
2025-04-09 01:00:00,24,20
2025-04-09 02:00:00,16,12
2025-04-09 03:00:00,12,9
2025-04-09 04:00:00,12,10
2025-04-09 05:00:00,11,8
2025-04-09 06:00:00,11,9
2025-04-09 07:00:00,15,10
2025-04-09 08:00:00,17,10
2025-04-09 09:00:00,21,15
2025-04-09 10:00:00,20,13
2025-04-09 11:00:00,21,13
2025-04-09 12:00:00,17,10
2025-04-09 13:00:00,11,6
2025-04-09 14:00:00,9,4
2025-04-09 15:00:00,8,4
2025-04-09 16:00:00,8,4
2025-04-09 17:00:00,10,4
2025-04-09 18:00:00,9,4
2025-04-09 19:00:00,9,4
2025-04-09 20:00:00,10,5
2025-04-09 21:00:00,10,6
2025-04-09 22:00:00,16,10
2025-04-09 23:00:00,19,13
2025-04-10 00:00:00,22,16
2025-04-10 01:00:00,22,16
2025-04-10 02:00:00,17,13
2025-04-10 03:00:00,15,11
2025-04-10 04:00:00,12,8
2025-04-10 05:00:00,12,9
2025-04-10 06:00:00,11,7
2025-04-10 07:00:00,15,10
2025-04-10 08:00:00,16,9
2025-04-10 09:00:00,17,10
2025-04-10 10:00:00,18,11
2025-04-10 11:00:00,12,7
2025-04-10 12:00:00,11,6
2025-04-10 13:00:00,10,5
2025-04-10 14:00:00,8,3
2025-04-10 15:00:00,7,4
2025-04-10 16:00:00,7,3
2025-04-10 17:00:00,8,3
2025-04-10 18:00:00,7,3
2025-04-10 19:00:00,7,3
2025-04-10 20:00:00,11,5
2025-04-10 21:00:00,15,7
2025-04-10 22:00:00,20,12
2025-04-10 23:00:00,23,14
2025-04-11 00:00:00,28,19
2025-04-11 01:00:00,25,18
2025-04-11 02:00:00,24,18
2025-04-11 03:00:00,23,19
2025-04-11 04:00:00,18,13
2025-04-11 05:00:00,17,13
2025-04-11 06:00:00,17,12
2025-04-11 07:00:00,18,11
2025-04-11 08:00:00,22,14
2025-04-11 09:00:00,21,13
2025-04-11 10:00:00,21,12
2025-04-11 11:00:00,19,11
2025-04-11 12:00:00,17,9
2025-04-11 13:00:00,19,10
2025-04-11 14:00:00,22,9
